"Lab_Number","Station_ID","Sample_Date","Sample_Year","Sample_Month","Vol_filtered_mL","Chla_mg.m3","Chlb_mg.m3","Chlc_mg.m3","Pheophytin","Chla_Pheo_664.665a"
220075,"A-BHC-S",2022-01-11,"2022","January",750,12.6346666666667,1.62106666666667,1.62826666666667,2.1716,1.58490566037736
220076,"A-D-S",2022-01-11,"2022","January",950,1.30557894736842,0.35,0.35,0.35,1.57142857142857
220077,"A-M-S",2022-01-11,"2022","January",1000,4.4141,0.3768,0.567500000000001,1.3884,1.5
220078,"B-BC-S",2022-01-10,"2022","January",770,9.01415584415584,0.35,1.04012987012987,NA,NA
220079,"B-D-S",2022-01-10,"2022","January",950,2.95042105263158,0.588736842105263,0.567263157894737,NA,NA
220080,"B-M-S",2022-01-10,"2022","January",660,3.34787878787879,1.21848484848485,1.31454545454545,1.53727272727273,1.42857142857143
220081,"B-MBL-S",2022-01-10,"2022","January",800,3.227625,0.60525,0.503875,1.969125,1.35294117647059
220082,"R-CRS-S",2022-01-10,"2022","January",960,1.7696875,0.35,0.35,0.35,1.66666666666667
220083,"R-D-S",2022-01-10,"2022","January",970,1.38412371134021,0.35,0.35,0.35,1.71428571428571
220084,"R-M-S",2022-01-10,"2022","January",940,1.80648936170213,0.35,0.35,0.35,1.66666666666667
220085,"R-WH-S",2022-01-10,"2022","January",950,5.47505263157895,0.35,1.15,0.730736842105263,1.60714285714286
230126,"A-BHC-S",2023-01-18,"2023","January",950,5.594,0.547473684210526,0.732947368421052,2.55757894736842,1.42424242424242
230127,"A-D-S",2023-01-18,"2023","January",945,0.375343915343915,0.35,0.35,0.593333333333333,1
230128,"A-M-S",2023-01-18,"2023","January",970,1.61175257731959,0.407422680412371,0.35,0.357835051546391,1.55555555555556
230129,"A-TMI-S",2023-01-18,"2023","January",920,0.607934782608696,0.35,0.543586956521739,0.522391304347826,1.25
230130,"B-BC-S",2023-01-17,"2023","January",1000,1.2233,0.3478,0.4171,1.1481,1.22222222222222
230131,"B-D-S",2023-01-17,"2023","January",1000,2.5967,0.35,0.7243,2.4831,1.21052631578947
230132,"B-M-S",2023-01-17,"2023","January",950,2.01905263157895,0.35,0.511684210526316,1.43336842105263,1.30769230769231
230133,"B-MBL-S",2023-01-17,"2023","January",935,2.66780748663102,0.35,0.611550802139038,0.999465240641712,1.46666666666667
230134,"C-BCF-S",2023-01-19,"2023","January",950,3.09221052631579,0.35,0.371578947368421,2.72621052631579,1.23809523809524
230135,"C-BD-S",2023-01-19,"2023","January",950,0.715157894736842,0.35,0.35,2.61378947368421,0.666666666666667
230136,"C-D-S",2023-01-19,"2023","January",960,3.16739583333333,0.4971875,0.35,0.528437499999999,1.58823529411765
230137,"C-M-S",2023-01-19,"2023","January",1000,1.6827,0.3675,0.35,1.8957,1.15384615384615
230138,"GR-D-S",2023-01-19,"2023","January",930,67.3683870967742,20.3436559139785,0.589462365591401,22.1638709677419,1.49468085106383
230139,"R-CRS-S",2023-01-18,"2023","January",950,2.46936842105263,0.652,0.35,5.08705263157895,0.91304347826087
230140,"R-D-S",2023-01-18,"2023","January",930,0.967096774193548,0.35,0.402150537634409,1.11967741935484,1.14285714285714
230141,"R-M-S",2023-01-18,"2023","January",970,1.12309278350515,0.631340206185567,0.368865979381443,0.990927835051546,1.25
230142,"R-WH-S",2023-01-18,"2023","January",970,1.27865979381443,0.35,0.35,0.715670103092784,1.375
230143,"S-BC-S",2023-01-18,"2023","January",960,5.84104166666667,1.220625,0.611875,2.169375,1.47058823529412
230144,"S-BR-S",2023-01-18,"2023","January",1000,8.1433,2.2869,0.7625,5.0196,1.35185185185185
230145,"S-MD-S",2023-01-18,"2023","January",960,7.23958333333333,1.5540625,0.773541666666666,4.505625,1.34782608695652
220211,"A-TMI-S",2022-02-08,"2022","January",1000,5.7373,0.774200000000001,1.8727,1.8156,1.5
220212,"C-BCF-S",2022-02-09,"2022","January",910,8.52934065934066,1.36516483516484,1.41241758241758,1.20296703296703,1.6046511627907
220213,"C-BD-S",2022-02-09,"2022","January",900,3.22711111111111,0.735666666666667,1.04066666666667,1.36466666666667,1.44444444444444
220214,"C-D-S",2022-02-09,"2022","January",950,6.38273684210526,1.14221052631579,1.24231578947368,1.54578947368421,1.54285714285714
220215,"C-M-S",2022-02-09,"2022","January",960,8.22541666666667,1.04614583333333,1.14520833333333,3.22625,1.45833333333333
220216,"GR-D-S",2022-02-09,"2022","January",995,8.76653266331658,0.520402010050252,1.97316582914573,2.14673366834171,1.54
220232,"S-BC-S",2022-02-10,"2022","January",948,20.8528481012658,2.47004219409283,1.59694092827004,3.37974683544304,1.59090909090909
220233,"S-BR-S",2022-02-10,"2022","January",950,18.6585263157895,3.96326315789474,0.958105263157893,3.85042105263158,1.56435643564356
220234,"S-MD-S",2022-02-10,"2022","January",960,7.73416666666667,1.35552083333333,0.448541666666667,3.393125,1.43478260869565
220527,"A-BHC-S",2022-04-06,"2022","April",920,0.715902173913044,0.35,0.35,23.0722826086956,0.11
220528,"A-D-S",2022-04-06,"2022","April",940,18.821170212766,0.35,3.24117021276596,2.32914893617022,1.61458333333333
220529,"A-M-S",2022-04-06,"2022","April",1000,13.8249,0.35,1.9225,1.2816,1.63513513513514
220530,"A-TMI-S",2022-04-06,"2022","April",950,14.9105263157895,0.35,1.89094736842105,1.93926315789473,1.61038961038961
220531,"C-BCF-S",2022-04-07,"2022","April",950,24.1758947368421,0.35,3.58326315789474,0.36536842105263,1.6890756302521
220532,"C-BD-S",2022-04-07,"2022","April",950,9.966,0.35,1.08873684210526,1.99547368421052,1.56603773584906
220533,"C-D-S",2022-04-07,"2022","April",920,25.605652173913,0.35,4.40891304347826,2.87315217391305,1.62204724409449
220534,"C-M-S",2022-04-07,"2022","April",920,10.8229347826087,0.35,1.13423913043478,2.87315217391304,1.52631578947368
220535,"GR-D-S",2022-04-07,"2022","April",610,4.86754098360656,0.35,0.425901639344262,3.50163934426229,1.3
220536,"R-CRS-S",2022-04-06,"2022","April",920,0.996086956521739,0.35,0.35,0.638478260869565,1.33333333333333
220537,"R-D-S",2022-04-06,"2022","April",960,0.49375,0.35,0.35,0.35,4
220538,"R-M-S",2022-04-06,"2022","April",930,0.492258064516129,0.35,0.35,0.35,1.33333333333333
220539,"R-WH-S",2022-04-06,"2022","April",970,1.41587628865979,0.35,0.35,0.35,1.71428571428571
220540,"S-BC-S",2022-04-07,"2022","April",900,18.5745555555556,0.35,2.00255555555556,3.79733333333333,1.56382978723404
220541,"S-BR-S",2022-04-07,"2022","April",670,16.91,0.35,2.38194029850746,1.87298507462687,1.62295081967213
220542,"S-MD-S",2022-04-07,"2022","April",750,14.9482666666667,0.35,2.15013333333333,2.6344,1.58064516129032
230570,"A-BHC-S",2023-04-11,"2023","April",940,0.379042553191489,0.35,0.35,0.596489361702128,1
230571,"A-D-S",2023-04-11,"2023","April",970,5.5279381443299,0.35,0.447319587628866,1.56896907216495,1.51612903225806
230572,"A-M-S",2023-04-11,"2023","April",1000,2.0528,0.35,0.35,0.186899999999999,1.63636363636364
230573,"A-TMI-S",2023-04-11,"2023","April",920,0.480869565217391,0.35,0.35,0.812608695652174,1
230574,"B-BC-S",2023-04-10,"2023","April",300,1.86966666666667,0.408333333333333,0.35,3.115,1
230575,"B-D-S",2023-04-10,"2023","April",300,4.52666666666667,0.366,0.770666666666667,2.937,1.33333333333333
230576,"B-M-S",2023-04-10,"2023","April",300,4.52933333333333,0.35,0.35,2.937,1.33333333333333
230577,"B-MBL-S",2023-04-10,"2023","April",270,2.13444444444444,0.35,0.35,3.46111111111111,1
230578,"C-BCF-S",2023-04-12,"2023","April",900,0.623222222222222,0.35,0.35,1.03833333333333,1
230579,"C-BD-S",2023-04-12,"2023","April",900,1.01733333333333,0.35,0.35,0.652666666666667,1.33333333333333
230580,"C-D-S",2023-04-12,"2023","April",970,8.67855670103093,0.35,0.794020618556701,9.11103092783505,1.17460317460317
230581,"C-M-S",2023-04-12,"2023","April",920,17.079347826087,0.35,2.18630434782609,2.37978260869566,1.6046511627907
230582,"GR-D-S",2023-04-12,"2023","April",600,7.78016666666667,0.35,0.35,2.937,1.46428571428571
230583,"R-CRS-S",2023-04-11,"2023","April",930,6.76849462365591,0.35,0.35,0.803870967741933,1.61764705882353
230584,"R-D-S",2023-04-11,"2023","April",950,5.03768421052632,0.35,0.366526315789474,1.57389473684211,1.5
230585,"R-M-S",2023-04-11,"2023","April",950,5.30421052631579,0.35,0.35,2.44515789473684,1.41935483870968
230586,"R-WH-S",2023-04-11,"2023","April",960,3.32375,0.35,0.35,9.23375,0.777777777777778
230587,"S-BC-S",2023-04-12,"2023","April",960,4.73833333333333,0.35,0.3975,2.11375,1.42857142857143
230588,"S-BR-S",2023-04-12,"2023","April",930,13.1024731182796,0.35,1.08204301075269,16.1348387096774,1.11458333333333
230589,"S-MD-S",2023-04-12,"2023","April",900,18.9353333333333,0.782444444444446,1.778,5.429,1.51515151515151
210539,"A-BHC-S",2021-04-21,"2021","April",1000,6.9255,0.35,0.724900000000001,3.6846,1.38636363636364
210540,"A-M-S",2021-04-21,"2021","April",1000,7.0602,0.35,0.539,4.3254,1.34782608695652
210541,"A-TMI-S",2021-04-21,"2021","April",840,6.3825,0.35,0.808452380952381,2.35214285714286,1.46875
210542,"B-BC-S",2021-04-20,"2021","April",1000,8.9305,0.883000000000001,1.2875,0.35,1.71739130434783
210543,"B-D-S",2021-04-20,"2021","April",1000,4.5164,0.506200000000001,0.72,0.35,1.9047619047619
210544,"B-M-S",2021-04-20,"2021","April",1000,4.3126,0.35,0.35,1.2015,1.52
210545,"B-MBL-S",2021-04-20,"2021","April",1000,3.8216,0.6483,0.651,0.453899999999998,1.61904761904762
210546,"C-BCF-S",2021-04-22,"2021","April",780,10.3378205128205,0.511410256410256,0.737307692307692,2.46461538461538,1.54347826086957
210547,"C-BD-S",2021-04-22,"2021","April",920,11.3738043478261,1.8754347826087,1.28402173913043,0.35,1.72222222222222
210548,"C-D-S",2021-04-22,"2021","April",800,7.255625,0.35,0.575375,1.13475,1.59375
210549,"C-M-S",2021-04-22,"2021","April",620,10.4579032258065,0.35,0.731129032258064,1.07661290322581,1.62857142857143
210550,"GR-D-S",2021-04-22,"2021","April",1000,1.6665,0.5512,0.35,0.35,1.875
210551,"R-CRS-S",2021-04-21,"2021","April",1000,1.1356,0.35,0.5858,0.35,3.33333333333333
210552,"R-D-S",2021-04-21,"2021","April",1000,1.0017,0.35,0.5265,0.35,2.25
210553,"R-M-S",2021-04-21,"2021","April",1000,1.0341,0.35,0.35,0.35,4.5
210554,"R-WH-S",2021-04-21,"2021","April",1000,1.2395,0.35,0.35,0.35,3.66666666666666
210555,"S-BC-S",2021-04-22,"2021","April",600,12.925,0.35,1.01333333333333,0.756499999999991,1.65853658536585
210556,"S-BR-S",2021-04-22,"2021","April",520,12.7576923076923,0.35,0.660384615384616,0.770192307692312,1.65714285714286
210557,"S-MD-S",2021-04-22,"2021","April",500,12.5246,0.35,1.1254,2.403,1.57142857142857
220692,"B-BC-S",2022-05-16,"2022","April",970,8.57309278350515,0.35,0.63680412371134,1.43134020618557,1.58695652173913
220693,"B-D-S",2022-05-16,"2022","April",970,6.68113402061856,0.35,1.47845360824742,1.6240206185567,1.54054054054054
220694,"B-M-S",2022-05-16,"2022","April",980,7.99948979591837,0.35,1.44908163265306,0.653877551020408,1.64285714285714
220695,"B-MBL-S",2022-05-16,"2022","April",1000,5.6844,0.35,0.9674,0.720899999999998,1.61290322580645
230996,"A-BHC-S",2023-07-12,"2023","July",910,13.1916483516484,1.12032967032967,1.05956043956044,22.2695604395604,0.990654205607477
230997,"A-D-S",2023-07-12,"2023","July",1000,10.5579,0.516800000000001,1.1469,15.5661,1.04494382022472
230998,"A-M-S",2023-07-12,"2023","July",910,11.6368131868132,0.35,1.15791208791209,3.63824175824176,1.5
230999,"A-TMI-S",2023-07-12,"2023","July",920,20.2882608695652,0.35,2.91913043478261,13.5821739130435,1.32258064516129
231000,"B-BC-S",2023-07-11,"2023","July",940,6.61117021276596,0.705744680851065,0.877765957446809,4.17542553191489,1.34146341463415
231001,"B-D-S",2023-07-11,"2023","July",990,10.7678787878788,0.652727272727273,1.31252525252525,6.28393939393939,1.36231884057971
231002,"B-M-S",2023-07-11,"2023","July",950,9.06042105263158,0.71421052631579,1.05178947368421,8.26294736842105,1.2258064516129
231003,"B-MBL-S",2023-07-11,"2023","July",920,6.64282608695652,0.551521739130435,0.997608695652174,6.03652173913043,1.22727272727273
231004,"C-BCF-S",2023-07-13,"2023","July",940,12.2058510638298,0.478510638297873,1.43797872340425,11.8729787234043,1.20238095238095
231005,"C-BD-S",2023-07-13,"2023","July",900,11.3008888888889,1.193,1.43355555555556,6.586,1.36363636363636
231006,"C-D-S",2023-07-13,"2023","July",930,7.09935483870968,0.35,0.469462365591397,7.26354838709677,1.18367346938776
231007,"C-M-S",2023-07-13,"2023","July",950,21.0292631578947,1.02347368421053,2.57221052631579,4.52494736842105,1.55752212389381
231008,"GR-D-S",2023-07-13,"2023","July",610,4.25950819672131,0.492622950819672,0.38344262295082,2.58245901639344,1.35294117647059
231009,"R-CRS-S",2023-07-12,"2023","July",950,9.23547368421053,0.35,0.758,3.204,1.48076923076923
231010,"R-D-S",2023-07-12,"2023","July",890,13.1942696629213,0.35,1.10101123595506,1.23,1.63492063492063
231011,"R-M-S",2023-07-12,"2023","July",960,6.4175,0.35,0.35,9.0946875,1.05882352941176
231012,"R-WH-S",2023-07-12,"2023","July",930,7.09849462365591,0.35,0.733118279569892,7.7516129032258,1.16
231013,"S-BC-S",2023-07-13,"2023","July",860,19.06,0.35,2.61581395348837,5.43313953488373,1.51578947368421
231014,"S-BR-S",2023-07-13,"2023","July",625,29.568,0.35,1.96896,8.50127999999999,1.51401869158879
231017,"S-MD-S",2023-07-13,"2023","July",670,17.8562686567164,0.35,1.66522388059701,18.4508955223881,1.17977528089888
221008,"A-BHC-S",2022-07-12,"2022","July",980,11.7390816326531,0.35,1.53438775510204,0.735612244897961,1.65573770491803
221009,"A-D-S",2022-07-12,"2022","July",980,15.3577551020408,0.35,1.63673469387755,2.01612244897959,1.60975609756098
221010,"A-M-S",2022-07-12,"2022","July",950,13.4648421052632,0.35,1.56757894736842,1.96736842105263,1.6
221011,"A-TMI-S",2022-07-12,"2022","July",950,10.2163157894737,0.35,0.795473684210526,3.82231578947368,1.46551724137931
221012,"B-BC-S",2022-07-11,"2022","July",850,14.6516470588235,0.35,1.03494117647059,4.74317647058823,1.49315068493151
221013,"B-D-S",2022-07-11,"2022","July",960,7.23010416666667,0.35,0.834270833333334,2.4196875,1.48780487804878
221014,"B-M-S",2022-07-11,"2022","July",930,7.68333333333333,0.415161290322581,1.18913978494624,1.92354838709677,1.53658536585366
221015,"B-MBL-S",2022-07-11,"2022","July",900,7.59844444444444,0.35,0.720444444444445,1.36466666666666,1.57894736842105
221016,"C-BCF-S",2022-07-13,"2022","July",900,26.4381111111111,0.432222222222226,2.141,5.073,1.57142857142857
221017,"C-BD-S",2022-07-13,"2022","July",1000,9.7932,0.35,0.587000000000001,2.9103,1.50877192982456
221018,"C-D-S",2022-07-13,"2022","July",910,15.4383516483516,0.35,1.18406593406593,6.30824175824176,1.44705882352941
221019,"C-M-S",2022-07-13,"2022","July",941,20.0156216790648,0.35,1.51509032943677,11.0658873538788,1.375
221020,"GR-D-S",2022-07-13,"2022","July",890,1.27685393258427,0.35,0.382696629213483,2.1,1
221021,"R-CRS-S",2022-07-12,"2022","July",910,8.72989010989011,0.468791208791209,0.919780219780219,0.909560439560437,1.62790697674419
221022,"R-D-S",2022-07-12,"2022","July",1000,6.4985,0.35,0.7745,1.5753,1.54054054054054
221023,"R-M-S",2022-07-12,"2022","July",920,7.04597826086956,0.35,1.02576086956522,1.71228260869565,1.54054054054054
221024,"R-WH-S",2022-07-12,"2022","July",930,7.82731182795699,0.35,1.25290322580645,1.63645161290322,1.5609756097561
221025,"S-BC-S",2022-07-13,"2022","July",830,26.6766265060241,0.35,2.76506024096386,4.31060240963855,1.59016393442623
221026,"S-BR-S",2022-07-13,"2022","July",740,18.1448648648649,0.533108108108108,0.70081081081081,4.65445945945946,1.53246753246753
221027,"S-MD-S",2022-07-13,"2022","July",830,14.4455421686747,1.51373493975904,0.774698795180723,5.82253012048192,1.45205479452055
210939,"A-BHC-S",2021-07-26,"2021","July",720,11.2859722222222,0.35,0.880416666666667,24.7345833333333,0.876543209876543
210940,"A-D-S",2021-07-26,"2021","July",600,25.7321666666667,0.35,1.61716666666667,6.49699999999999,1.53409090909091
210941,"A-M-S",2021-07-26,"2021","July",600,21.1258333333333,0.35,1.28383333333333,11.8815,1.37037037037037
210942,"A-TMI-S",2021-07-26,"2021","July",750,12.0574666666667,0.35,0.4644,25.7388,0.887640449438202
210943,"B-BC-S",2021-07-25,"2021","July",900,8.22255555555556,0.35,0.458777777777778,5.93333333333333,1.3
210944,"B-D-S",2021-07-25,"2021","July",1000,7.9758,0.35,0.7438,2.6433,1.48936170212766
210945,"B-M-S",2021-07-25,"2021","July",1000,3.1908,0.35,0.35,9.3183,0.756756756756757
210946,"B-MBL-S",2021-07-26,"2021","July",1000,9.6909,0.35,0.4345,1.8156,1.57407407407407
210947,"C-BCF-S",2021-07-27,"2021","July",1000,38.1134,0.35,2.3874,4.32539999999998,1.62135922330097
210948,"C-BD-S",2021-07-27,"2021","July",1000,8.4036,0.446300000000001,0.449,15.6462,0.948717948717949
210949,"C-D-S",2021-07-27,"2021","July",700,25.5987142857143,0.35,1.74414285714286,43.2158571428571,0.987421383647799
210950,"C-M-S",2021-07-27,"2021","July",1000,40.1516,0.35,2.3664,0.35,1.85263157894737
210951,"GR-D-S",2021-07-27,"2021","July",500,0.9172,0.35,0.35,3.3108,0.666666666666667
210952,"R-CRS-S",2021-07-26,"2021","July",1000,6.0107,0.431200000000001,0.35,6.7284,1.15217391304348
210953,"R-D-S",2021-07-26,"2021","July",1000,6.7217,0.35,0.35,3.3108,1.4047619047619
210954,"R-M-S",2021-07-26,"2021","July",1000,7.2964,0.35,0.7508,4.2453,1.36170212765957
210955,"R-WH-S",2021-07-26,"2021","July",1000,8.2452,0.35,0.372,5.2866,1.33333333333333
210956,"S-BC-S",2021-07-27,"2021","July",1000,14.1366,0.35,0.908800000000001,12.7359,1.22772277227723
210957,"S-BR-S",2021-07-27,"2021","July",900,21.1916666666667,0.35,1.27455555555555,2.90733333333333,1.60576923076923
210959,"S-MD-S",2021-07-27,"2021","July",800,19.891625,0.35,1.129375,6.942,1.47872340425532
221487,"A-BHC-S",2022-10-18,"2022","October",1000,7.5978,1.9541,0.828799999999999,5.4468,1.30769230769231
221488,"A-D-S",2022-10-18,"2022","October",1000,6.7193,0.35,0.9103,2.8569,1.4390243902439
221489,"A-M-S",2022-10-18,"2022","October",950,5.51294736842105,1.65431578947368,0.35,3.03536842105263,1.38235294117647
221490,"A-TMI-S",2022-10-18,"2022","October",925,11.7474594594595,1.03589189189189,1.20432432432432,1.73189189189189,1.6
221491,"B-BC-S",2022-10-17,"2022","October",800,21.7585,0.35,0.8795,4.305375,1.56701030927835
221492,"B-D-S",2022-10-17,"2022","October",950,19.5191578947368,0.35,1.09915789473684,4.15957894736841,1.55769230769231
221494,"B-M-S",2022-10-17,"2022","October",860,21.5627906976744,0.35,0.929069767441862,1.95593023255814,1.63636363636364
221495,"B-MBL-S",2022-10-17,"2022","October",960,20.5172916666667,0.35,1.01083333333333,4.171875,1.56363636363636
221496,"C-BCF-S",2022-10-19,"2022","October",1000,14.2073,0.538900000000001,1.1545,3.3909,1.54320987654321
221497,"C-BD-S",2022-10-19,"2022","October",950,1.938,1.32336842105263,0.35,2.38894736842105,1.13333333333333
221498,"C-D-S",2022-10-19,"2022","October",950,12.4694736842105,0.35,0.933894736842105,5.64915789473684,1.42465753424658
221499,"C-M-S",2022-10-19,"2022","October",975,12.1173333333333,0.537230769230769,1.00553846153846,5.50430769230769,1.42465753424658
221500,"GR-D-S",2022-10-19,"2022","October",940,1.19255319148936,0.35,0.35,2.47117021276596,0.909090909090909
221501,"R-CRS-S",2022-10-18,"2022","October",1000,6.5147,0.35,0.6053,4.2987,1.32558139534884
221502,"R-D-S",2022-10-18,"2022","October",925,6.91481081081081,0.35,0.672432432432432,3.02215135135135,1.43222506393862
221503,"R-M-S",2022-10-18,"2022","October",900,6.99322222222222,0.35,0.521666666666666,3.35233333333333,1.41025641025641
221504,"R-WH-S",2022-10-18,"2022","October",940,9.94595744680851,0.35,1.11808510638298,3.74936170212766,1.46428571428571
221505,"S-BC-S",2022-10-19,"2022","October",1000,20.722,0.35,1.7598,6.7818,1.49180327868852
221506,"S-BR-S",2022-10-19,"2022","October",1000,11.7445,0.35,0.4895,3.3642,1.51470588235294
221508,"S-MD-S",2022-10-19,"2022","October",1000,9.6739,0.35,0.848900000000001,5.9007,1.34920634920635
