"Lab_number","State","Water_body","Location","Station_ID","Sample_Date","Sample_Year","Sample_Month","Veligers_Observed","Veligers_L","Microscopy_result","QuaggaMusselPCRType","ZebraMusselPCRType","DNASequencingResultType"
211805,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-09-21,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211997,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2021-12-13,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
211998,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-12-13,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
211999,"AZ","Bartlett Reservoir","MARINA","B-M",2021-12-13,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212001,"AZ","Bartlett Reservoir","BOAT RAMP","B-MBL",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212002,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212003,"AZ","Theodore Roosevelt Lake","WINDY HILL (BADGER) BOAT RAMP","R-WH",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212006,"AZ","Apache Lake","MARINA","A-M",2021-12-14,"2021","December","2580","0.72999067231482662","Positive","Not Tested","Not Tested","Not Tested"
212007,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2021-12-14,"2021","December","442","0.12506041750509819","Positive","Not Tested","Not Tested","Not Tested"
212008,"AZ","Saguaro Lake","MAIN BOAT RAMP","S-BR",2021-12-14,"2021","December","0","0","Negative","Not Tested","Not Tested","Not Tested"
212009,"AZ","Saguaro Lake","MARINA","S-MD",2021-12-14,"2021","December","0","0","Negative","Not Tested","Not Tested","Not Tested"
212010,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212013,"AZ","Canyon Lake","MARINA","C-M",2021-12-15,"2021","December","1370","0.38763070584159398","Positive","Not Tested","Not Tested","Not Tested"
220000,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220001,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220002,"AZ","Bartlett Reservoir","DAM","B-D",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220003,"AZ","Bartlett Reservoir","MARINA","B-M",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220005,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220006,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220007,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220008,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220010,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220011,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220012,"AZ","Bartlett Reservoir","DAM","B-D",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220013,"AZ","Bartlett Reservoir","MARINA","B-M",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220015,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220016,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220017,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220018,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220020,"AZ","Canyon Lake","BELOW DAM","C-BD",2022-02-09,"2022","January","88200","31.194368846011489","Positive","Not Tested","Not Tested","Not Tested"
220021,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2022-02-09,"2022","January","4983","2.8198011784068071","Positive","Not Tested","Not Tested","Not Tested"
220022,"AZ","Canyon Lake","DAM 0-5 M","C-D",2022-02-09,"2022","January","839","7.9129479854281592E-2","Positive","Not Tested","Not Tested","Not Tested"
220023,"AZ","Canyon Lake","DAM 5-29 M","C-D",2022-02-09,"2022","January","2348","1.3286962004614054","Positive","Not Tested","Not Tested","Not Tested"
220024,"AZ","Canyon Lake","MARINA","C-M",2022-02-09,"2022","January","864","0.34923141798450175","Positive","Not Tested","Not Tested","Not Tested"
220025,"AZ","Apache Lake","DAM 0-5 M","A-D",2022-02-08,"2022","January","23470","13.281303162193009","Positive","Not Tested","Not Tested","Not Tested"
220026,"AZ","Apache Lake","DAM 5 -29 M","A-D",2022-02-08,"2022","January","57380","5.4117396353261951","Positive","Not Tested","Not Tested","Not Tested"
220027,"AZ","Apache Lake","MARINA","A-M",2022-02-08,"2022","January","20430","9.6341792218293971","Positive","Not Tested","Not Tested","Not Tested"
220028,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2022-02-08,"2022","January","56983","11.516350631372028","Positive","Not Tested","Not Tested","Not Tested"
220029,"AZ","Apache Lake","THREE MILE","A-TMI",2022-02-08,"2022","January","335800","118.76495531168545","Positive","Not Tested","Not Tested","Not Tested"
220030,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2022-02-10,"2022","January","151","3.560355023240918E-2","Positive","Not Tested","Not Tested","Not Tested"
220031,"AZ","Saguaro Lake","MARINA","S-MD",2022-02-10,"2022","January","0","0","Negative","Not Tested","Not Tested","Not Tested"
220032,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2022-02-10,"2022","January","0","0","Negative","Not Tested","Not Tested","Not Tested"
220033,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2022-02-09,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220034,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-03-08,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220035,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-03-08,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220036,"AZ","Bartlett Reservoir","DAM","B-D",2022-03-08,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220037,"AZ","Bartlett Reservoir","MARINA","B-M",2022-03-08,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220039,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-03-09,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220040,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-03-09,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220041,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-03-09,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220042,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-03-09,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220044,"AZ","Canyon Lake","BELOW DAM","C-BD",2022-03-10,"2022","March","41114","23.265764729885102","Positive","Not Tested","Not Tested","Not Tested"
220045,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2022-03-10,"2022","March","48850","19.74531801914689","Positive","Not Tested","Not Tested","Not Tested"
220046,"AZ","Canyon Lake","DAM 0-5 M","C-D",2022-03-10,"2022","March","429","0.24276433986283769","Positive","Not Tested","Not Tested","Not Tested"
220047,"AZ","Canyon Lake","DAM 5-29 M","C-D",2022-03-10,"2022","March","1575","0.14854461355243564","Positive","Not Tested","Not Tested","Not Tested"
220048,"AZ","Canyon Lake","MARINA","C-M",2022-03-10,"2022","March","114000","26.879501499964544","Positive","Not Tested","Not Tested","Not Tested"
220049,"AZ","Apache Lake","DAM 0-5 M","A-D",2022-03-10,"2022","March","35383","20.022682138384116","Positive","Not Tested","Not Tested","Not Tested"
220050,"AZ","Apache Lake","DAM 5 -29 M","A-D",2022-03-10,"2022","March","201000","18.957122110501313","Positive","Not Tested","Not Tested","Not Tested"
220051,"AZ","Apache Lake","MARINA","A-M",2022-03-10,"2022","March","1388","0.7854473280410692","Positive","Not Tested","Not Tested","Not Tested"
220052,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2022-03-10,"2022","March","18050","3.4047368566621761","Positive","Not Tested","Not Tested","Not Tested"
220053,"AZ","Apache Lake","THREE MILE","A-TMI",2022-03-10,"2022","March","86767","24.550039017341302","Positive","Not Tested","Not Tested","Not Tested"
220054,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2022-03-10,"2022","March","137","3.8763070584159398E-2","Positive","Not Tested","Not Tested","Not Tested"
220055,"AZ","Saguaro Lake","MARINA","S-MD",2022-03-10,"2022","March","3","3.3953054526271003E-4","Positive","Not Tested","Not Tested","Not Tested"
220056,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2022-03-10,"2022","March","0","0","Negative","Not Tested","Not Tested","Not Tested"
220057,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2022-03-11,"2022","March","0","0","Negative","Negative","Negative","Not Tested"
220098,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-04-05,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220099,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-04-05,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220100,"AZ","Bartlett Reservoir","DAM","B-D",2022-04-05,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220101,"AZ","Bartlett Reservoir","MARINA","B-M",2022-04-05,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220103,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-04-06,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220104,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-04-06,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220105,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-04-06,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220106,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-04-06,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220108,"AZ","Apache Lake","DAM 0-5 M","A-D",2022-04-06,"2022","April","42","2.3767138168389702E-2","Positive","Not Tested","Not Tested","Not Tested"
220109,"AZ","Apache Lake","DAM 5 -29 M","A-D",2022-04-06,"2022","April","5850","0.57076255453645219","Positive","Not Tested","Not Tested","Not Tested"
220110,"AZ","Apache Lake","MARINA","A-M",2022-04-06,"2022","April","845","0.23908609228915834","Positive","Not Tested","Not Tested","Not Tested"
220111,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2022-04-06,"2022","April","20300","3.3786617984475562","Positive","Not Tested","Not Tested","Not Tested"
220112,"AZ","Apache Lake","THREE MILE","A-TMI",2022-04-06,"2022","April","27500","7.7809083289371053","Positive","Not Tested","Not Tested","Not Tested"
220113,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2022-04-07,"2022","April","0","0","Negative","Not Tested","Not Tested","Not Tested"
220114,"AZ","Saguaro Lake","MARINA","S-MD",2022-04-07,"2022","April","0","0","Negative","Not Tested","Not Tested","Not Tested"
220115,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2022-04-07,"2022","April","0","0","Negative","Not Tested","Not Tested","Not Tested"
220116,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2022-04-07,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220117,"AZ","Canyon Lake","BELOW DAM","C-BD",2022-04-07,"2022","April","718","0.33858740485920252","Positive","Not Tested","Not Tested","Not Tested"
220118,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2022-04-07,"2022","April","86940","12.946835791728075","Positive","Not Tested","Not Tested","Not Tested"
220119,"AZ","Canyon Lake","DAM 0-5 M","C-D",2022-04-07,"2022","April","1319","0.74640131533585763","Positive","Not Tested","Not Tested","Not Tested"
220120,"AZ","Canyon Lake","DAM 5-29 M","C-D",2022-04-07,"2022","April","18700","1.7636725545590772","Positive","Not Tested","Not Tested","Not Tested"
220121,"AZ","Canyon Lake","MARINA","C-M",2022-04-07,"2022","April","44600","7.4230697640768968","Positive","Not Tested","Not Tested","Not Tested"
220221,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-05-16,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220222,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-05-16,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220223,"AZ","Bartlett Reservoir","DAM","B-D",2022-05-16,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220224,"AZ","Bartlett Reservoir","MARINA","B-M",2022-05-16,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220226,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-05-17,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220227,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-05-17,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220228,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-05-17,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220229,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-05-17,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220231,"AZ","Apache Lake","DAM 0-5 M","A-D",2022-05-17,"2022","April","0","0","Negative","Not Tested","Not Tested","Not Tested"
220232,"AZ","Apache Lake","DAM 5 -29 M","A-D",2022-05-17,"2022","April","712","6.7151596729735988E-2","Positive","Not Tested","Not Tested","Not Tested"
220233,"AZ","Apache Lake","MARINA","A-M",2022-05-17,"2022","April","21","6.6019828245526954E-3","Positive","Not Tested","Not Tested","Not Tested"
220234,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2022-05-17,"2022","April","13","2.1636750433407996E-3","Positive","Not Tested","Not Tested","Not Tested"
220235,"AZ","Apache Lake","THREE MILE","A-TMI",2022-05-17,"2022","April","123","6.9603761778855563E-2","Positive","Not Tested","Not Tested","Not Tested"
220236,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2022-05-18,"2022","April","3698","0.80486151050096266","Positive","Not Tested","Not Tested","Not Tested"
220237,"AZ","Saguaro Lake","MARINA","S-MD",2022-05-18,"2022","April","559","5.2721548556070814E-2","Negative","Not Tested","Not Tested","Not Tested"
220238,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2022-05-18,"2022","April","532","0.21503601199971636","Positive","Not Tested","Not Tested","Not Tested"
220239,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2022-05-18,"2022","April","0","0","Negative","Negative","Negative","Not Tested"
220240,"AZ","Canyon Lake","BELOW DAM","C-BD",2022-05-18,"2022","April","0","0","Positive","Not Tested","Not Tested","Not Tested"
220241,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2022-05-18,"2022","April","776","0.15683077566896608","Positive","Not Tested","Not Tested","Not Tested"
220242,"AZ","Canyon Lake","DAM 0-5 M","C-D",2022-05-18,"2022","April","3503","1.9822925000921221","Positive","Not Tested","Not Tested","Not Tested"
220243,"AZ","Canyon Lake","DAM 5-29 M","C-D",2022-05-18,"2022","April","1121","0.10572603923319389","Positive","Not Tested","Not Tested","Not Tested"
220244,"AZ","Canyon Lake","MARINA","C-M",2022-05-18,"2022","April","991","0.1649386129192871","Positive","Not Tested","Not Tested","Not Tested"
220709,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-07-11,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220710,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-07-11,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220711,"AZ","Bartlett Reservoir","DAM","B-D",2022-07-11,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220712,"AZ","Bartlett Reservoir","MARINA","B-M",2022-07-11,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220714,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-07-12,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220715,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-07-12,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220716,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-07-12,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220717,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-07-12,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
220719,"AZ","Canyon Lake","BELOW DAM","C-BD",2022-07-13,"2022","July","7000","2.475743559207261","Positive","Not Tested","Not Tested","Not Tested"
220720,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2022-07-13,"2022","July","18200","2.8608592239728345","Positive","Not Tested","Not Tested","Not Tested"
220721,"AZ","Canyon Lake","DAM 0-5 M","C-D",2022-07-13,"2022","July","102","5.7720192694660707E-2","Positive","Not Tested","Not Tested","Not Tested"
220722,"AZ","Canyon Lake","DAM 5-29 M","C-D",2022-07-13,"2022","July","2000","0.18862808070150558","Positive","Not Tested","Not Tested","Not Tested"
220723,"AZ","Canyon Lake","MARINA","C-M",2022-07-13,"2022","July","982","0.34731145359164717","Positive","Not Tested","Not Tested","Not Tested"
220724,"AZ","Apache Lake","DAM 0-5 M","A-D",2022-07-12,"2022","July","0","0","Negative","Not Tested","Not Tested","Not Tested"
220725,"AZ","Apache Lake","DAM 5 -29 M","A-D",2022-07-12,"2022","July","2900","0.2735107170171831","Positive","Not Tested","Not Tested","Not Tested"
220726,"AZ","Apache Lake","MARINA","A-M",2022-07-12,"2022","July","74","1.4955512112762229E-2","Positive","Not Tested","Not Tested","Not Tested"
220727,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2022-07-12,"2022","July","2406","0.40044631955984333","Positive","Not Tested","Not Tested","Not Tested"
220728,"AZ","Apache Lake","THREE MILE","A-TMI",2022-07-12,"2022","July","114","6.4510803599914915E-2","Positive","Not Tested","Not Tested","Not Tested"
220729,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2022-07-13,"2022","July","259","5.6370776425026858E-2","Positive","Not Tested","Not Tested","Not Tested"
220730,"AZ","Saguaro Lake","MARINA","S-MD",2022-07-13,"2022","July","0","0","Negative","Not Tested","Not Tested","Not Tested"
220731,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2022-07-13,"2022","July","1","3.5367765131532301E-4","Positive","Not Tested","Not Tested","Not Tested"
220732,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2022-07-13,"2022","July","0","0","Negative","Negative","Negative","Not Tested"
221103,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-08-08,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221104,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-08-08,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221105,"AZ","Bartlett Reservoir","DAM","B-D",2022-08-08,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221106,"AZ","Bartlett Reservoir","MARINA","B-M",2022-08-08,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221108,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-08-09,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221109,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-08-09,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221110,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-08-09,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221111,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-08-09,"2022","August","0","0","Negative","Negative","Negative","Not Tested"
221113,"AZ","Apache Lake","HORSE MESA DAM 5M","A-D",2022-08-09,"2022","August","5","2.8294212105225837E-3","Positive","Not Tested","Not Tested","Not Tested"
221114,"AZ","Apache Lake","HORSE MESA DAM 30M","A-D",2022-08-09,"2022","August","303","2.8577154226278097E-2","Positive","Not Tested","Not Tested","Not Tested"
221115,"AZ","Apache Lake","THREE MILE ISLAND","A-TMI",2022-08-09,"2022","August","268","0.1083264120600075","Positive","Not Tested","Not Tested","Not Tested"
